CampaignID,CampaignName,StartDate,EndDate,Channel,Spend,LeadsGenerated,Conversions,RevenueGenerated,Clicks,Impressions
CAMP00144,Email Blast,2024-01-05,2024-01-21,Email,18495.81,2046,533,129045.36,16818,252270
CAMP00145,Brand Awareness,2024-11-14,2024-11-25,Email,1123.57,1710,388,76353.06,4885,73275
CAMP00146,Summer Sale,2024-04-27,2024-05-15,Email,19901.36,1680,197,30056.21,13700,82200
CAMP00147,Brand Awareness,2024-03-22,2024-04-11,Email,6236.79,3118,243,25616.35,19180,230160
CAMP00148,Product Launch,2024-07-03,2024-07-30,Social Media,17046.95,3007,393,76488.71,9273,46365
CAMP00149,Festive Ads,2024-03-25,2024-04-03,Social Media,9366.0,2453,62,12912.45,8299,141083
CAMP00150,Festive Ads,2024-06-09,2024-06-22,Influencer,16353.8,176,48,13074.3,14346,172152
CAMP00151,Product Launch,2024-05-29,2024-06-05,Social Media,16931.77,3380,350,78954.43,4470,75990
CAMP00152,Product Launch,2024-06-25,2024-07-03,Social Media,2428.46,4623,200,25655.19,8837,159066
CAMP00153,Product Launch,2024-07-22,2024-08-09,Event,2195.32,4262,226,47647.35,15394,277092
CAMP00154,Email Blast,2024-09-06,2024-09-25,Event,16300.87,3976,854,219312.36,365,2920
CAMP00155,Email Blast,2024-11-25,2024-11-30,Social Media,1856.35,1155,153,26580.45,19168,249184
CAMP00156,Winter Sale,2024-01-20,2024-01-26,Email,19316.13,1291,153,45341.25,2476,22284
CAMP00157,Product Launch,2024-03-15,2024-04-11,Influencer,19684.25,2064,180,47417.2,13569,189966
CAMP00158,Summer Sale,2024-11-30,2024-12-13,Influencer,17811.32,2571,76,18931.22,13548,216768
CAMP00159,Influencer Boost,2024-04-18,2024-05-07,Email,4753.0,2078,398,62417.74,16758,83790
CAMP00160,Influencer Boost,2024-02-12,2024-03-08,Event,18195.28,1391,185,15816.57,2701,54020
CAMP00161,Product Launch,2024-09-29,2024-10-19,Social Media,9429.56,2177,525,100332.46,6028,96448
CAMP00162,Winter Sale,2024-01-18,2024-01-30,Event,15713.66,4895,587,31132.52,12352,185280
CAMP00163,Winter Sale,2024-01-31,2024-02-06,Influencer,641.64,757,176,9948.72,19469,214159
CAMP00164,Festive Ads,2024-11-16,2024-11-27,Influencer,5675.72,1469,227,60483.62,2051,22561
CAMP00165,Summer Sale,2024-08-21,2024-09-19,Social Media,1146.42,2373,557,99096.14,10387,145418
CAMP00166,Influencer Boost,2024-10-08,2024-10-20,Social Media,10961.59,1746,239,67735.33,14925,268650
CAMP00167,Brand Awareness,2024-06-18,2024-07-17,Event,19380.26,4334,383,87996.83,7970,135490
CAMP00168,Winter Sale,2024-06-06,2024-07-05,Event,16121.28,82,6,1138.79,15804,126432
CAMP00169,Brand Awareness,2024-01-11,2024-02-07,Influencer,4210.74,4718,211,22887.86,17226,172260
CAMP00170,Influencer Boost,2024-07-12,2024-08-06,Email,9347.26,1726,280,63373.8,8521,68168
CAMP00171,Product Launch,2024-06-24,2024-07-20,Email,4132.99,1339,382,43483.43,10796,64776
CAMP00172,Brand Awareness,2024-02-27,2024-03-16,Social Media,10708.12,4084,1001,186867.78,8161,106093
CAMP00173,Winter Sale,2024-10-23,2024-11-01,Social Media,11571.41,4184,926,64461.02,3465,62370
CAMP00174,Influencer Boost,2024-06-19,2024-07-11,Email,13773.77,379,100,5366.46,146,2774
CAMP00175,Festive Ads,2024-11-10,2024-11-18,Email,11999.67,1466,172,47195.48,6478,58302
CAMP00176,Summer Sale,2024-10-05,2024-11-02,Email,8503.88,2643,525,50680.06,16142,290556
CAMP00177,Winter Sale,2024-06-03,2024-06-17,Email,1564.37,3686,394,78994.41,2288,13728
CAMP00178,Festive Ads,2024-07-09,2024-08-05,Email,13700.78,2773,125,16352.37,14311,100177
CAMP00179,Winter Sale,2024-06-16,2024-07-03,Influencer,5946.03,246,31,4081.63,18579,167211
CAMP00180,Email Blast,2024-11-19,2024-12-07,Influencer,5674.61,1769,260,65227.51,8724,95964
CAMP00181,Winter Sale,2024-02-04,2024-02-09,Event,8856.11,4532,431,51695.52,9364,121732
CAMP00182,Brand Awareness,2024-09-11,2024-10-09,Event,17748.97,1255,98,19890.96,16160,161600
CAMP00183,Product Launch,2024-01-07,2024-01-25,Email,704.25,4598,1270,253263.75,6755,33775
CAMP00184,Festive Ads,2024-04-09,2024-04-24,Email,12719.63,4316,769,159822.85,18168,272520
CAMP00185,Brand Awareness,2024-01-19,2024-01-29,Influencer,7449.45,2122,377,19479.14,2752,22016
CAMP00186,Email Blast,2024-12-02,2024-12-27,Email,5042.13,3905,1071,163958.66,3406,57902
CAMP00187,Email Blast,2024-03-09,2024-03-14,Influencer,6656.63,4530,1180,339971.42,13136,183904
CAMP00188,Brand Awareness,2024-02-27,2024-03-13,Influencer,6375.89,4714,802,198309.5,3334,20004
CAMP00189,Brand Awareness,2024-11-17,2024-12-08,Email,9822.23,4263,544,100388.75,4462,35696
CAMP00190,Brand Awareness,2024-11-29,2024-12-26,Email,12035.37,2416,449,108977.12,7847,117705
CAMP00191,Product Launch,2024-01-23,2024-02-11,Event,8014.48,2552,101,26334.29,11163,78141
CAMP00192,Winter Sale,2024-02-10,2024-02-22,Email,12957.93,576,123,22727.64,18968,360392
CAMP00193,Email Blast,2024-05-27,2024-06-02,Influencer,14406.78,3908,720,163246.04,17842,231946
CAMP00194,Influencer Boost,2024-05-11,2024-05-22,Event,2923.55,2394,483,36540.48,9568,124384
CAMP00195,Email Blast,2024-12-08,2024-12-27,Email,13647.59,1975,355,38093.27,7011,35055
CAMP00196,Brand Awareness,2024-12-05,2024-12-17,Social Media,17605.44,976,162,47283.48,2749,38486
CAMP00197,Summer Sale,2024-06-30,2024-07-21,Email,13022.71,2591,556,121351.07,11892,154596
CAMP00198,Festive Ads,2024-01-22,2024-02-11,Event,6327.74,4169,1160,243966.48,475,8550
CAMP00199,Email Blast,2024-05-27,2024-06-11,Event,17685.55,931,171,32720.97,17462,174620
CAMP00200,Winter Sale,2024-04-02,2024-04-14,Email,1587.73,1295,354,54508.33,13319,79914
CAMP00201,Email Blast,2024-10-05,2024-10-21,Influencer,15411.18,4434,1329,351709.89,7844,39220
CAMP00202,Summer Sale,2024-05-15,2024-05-31,Social Media,9276.86,4685,741,122604.31,16948,186428
CAMP00203,Influencer Boost,2024-12-06,2024-12-18,Influencer,7968.67,1867,380,66246.08,4431,35448
CAMP00204,Email Blast,2024-03-08,2024-04-04,Email,1969.35,4447,1051,187167.14,10727,128724
CAMP00205,Email Blast,2024-07-07,2024-07-21,Event,11275.56,604,133,6816.38,2214,30996
CAMP00206,Product Launch,2024-01-11,2024-01-27,Email,1405.88,1451,288,46757.92,1635,13080
CAMP00207,Brand Awareness,2024-09-20,2024-10-15,Email,13530.91,1820,30,3100.81,1689,25335
CAMP00208,Product Launch,2024-03-29,2024-04-04,Social Media,16469.51,3179,143,14333.15,134,938
CAMP00209,Influencer Boost,2024-03-15,2024-04-08,Social Media,19243.95,4485,378,42690.24,18094,235222
CAMP00210,Brand Awareness,2024-01-14,2024-01-20,Email,8124.58,4726,1339,149751.92,18510,351690
CAMP00211,Email Blast,2024-02-28,2024-03-08,Social Media,16651.71,4003,922,140527.8,12446,248920
CAMP00212,Winter Sale,2024-05-04,2024-05-14,Social Media,2560.42,2599,482,89276.74,17661,353220
CAMP00213,Festive Ads,2024-09-22,2024-09-29,Social Media,17567.13,148,14,3622.99,18717,93585
CAMP00214,Festive Ads,2024-10-27,2024-11-18,Event,13951.44,2127,441,41007.31,4280,85600
CAMP00215,Product Launch,2024-02-11,2024-02-17,Influencer,11061.45,942,97,13053.64,17301,86505
CAMP00216,Product Launch,2024-03-18,2024-04-10,Email,720.66,2791,359,107618.11,7692,153840
CAMP00217,Influencer Boost,2024-04-09,2024-04-19,Influencer,4406.26,2403,605,101705.14,17548,87740
CAMP00218,Influencer Boost,2024-07-15,2024-07-30,Event,10706.31,2684,154,22958.79,13625,136250
CAMP00219,Festive Ads,2024-04-22,2024-05-18,Email,5321.11,3502,443,31779.72,14550,247350
CAMP00220,Product Launch,2024-06-28,2024-07-18,Influencer,9484.45,4494,1030,256682.67,8009,88099
CAMP00221,Summer Sale,2024-07-24,2024-08-08,Influencer,12023.96,3952,873,198677.47,6541,111197
CAMP00222,Influencer Boost,2024-05-02,2024-05-23,Influencer,3361.94,1057,99,24083.82,185,1850
CAMP00223,Brand Awareness,2024-11-11,2024-11-22,Influencer,14008.61,3188,178,35706.06,17277,172770
CAMP00224,Summer Sale,2024-07-21,2024-08-12,Social Media,11192.79,106,10,526.72,14950,209300
CAMP00225,Product Launch,2024-07-24,2024-08-01,Influencer,9409.17,4760,1412,92202.51,2347,39899
CAMP00226,Brand Awareness,2024-11-21,2024-11-29,Influencer,15499.27,2679,165,16383.51,5973,65703
CAMP00227,Brand Awareness,2024-01-29,2024-02-26,Influencer,3372.87,4653,536,119514.65,12449,224082
CAMP00228,Winter Sale,2024-12-21,2025-01-04,Event,13138.76,4904,738,99587.11,5612,39284
CAMP00229,Influencer Boost,2024-06-16,2024-07-13,Event,19542.14,4567,995,188718.55,11876,71256
CAMP00230,Summer Sale,2024-12-02,2024-12-16,Email,5362.28,2915,351,30971.85,7828,86108
CAMP00231,Winter Sale,2024-01-30,2024-02-17,Influencer,7716.12,3082,568,76946.18,890,13350
CAMP00232,Summer Sale,2024-07-12,2024-07-18,Event,10977.02,3492,228,35215.47,11698,105282
CAMP00233,Festive Ads,2024-01-11,2024-01-27,Social Media,5473.39,2831,387,34978.89,11968,131648
CAMP00234,Product Launch,2024-05-09,2024-05-24,Social Media,8082.43,4479,121,10361.69,18419,128933
CAMP00235,Brand Awareness,2024-11-01,2024-11-23,Email,899.79,3586,504,120045.35,13466,228922
CAMP00236,Influencer Boost,2024-10-25,2024-11-05,Influencer,17849.17,224,62,15752.47,13623,136230
CAMP00237,Winter Sale,2024-07-16,2024-07-27,Email,16254.06,4876,1102,274116.02,16406,82030
CAMP00238,Summer Sale,2024-01-21,2024-02-20,Influencer,12181.08,4978,1320,133113.08,16928,338560
CAMP00239,Influencer Boost,2024-10-14,2024-11-09,Email,2602.11,2127,575,53538.75,17272,345440
CAMP00240,Winter Sale,2024-02-09,2024-02-25,Social Media,1978.36,4680,160,44066.75,2242,20178
CAMP00241,Festive Ads,2024-02-22,2024-03-09,Social Media,15677.88,2831,52,5773.63,8017,144306
CAMP00242,Summer Sale,2024-07-19,2024-07-31,Email,8111.68,106,22,4082.61,15579,296001
CAMP00243,Influencer Boost,2024-01-02,2024-01-29,Influencer,17304.58,2515,393,71946.69,16440,164400
CAMP00244,Festive Ads,2024-11-13,2024-12-03,Social Media,8734.25,2133,28,1553.85,13668,123012
CAMP00245,Winter Sale,2024-11-24,2024-12-04,Social Media,16503.31,2385,681,41353.5,10887,217740
CAMP00246,Email Blast,2024-08-03,2024-08-14,Email,9192.27,3997,271,35181.17,14867,237872
CAMP00247,Influencer Boost,2024-12-24,2025-01-04,Event,4462.39,3304,342,43623.89,4922,39376
CAMP00248,Brand Awareness,2024-01-17,2024-02-12,Influencer,17604.6,136,34,8139.82,18594,278910
CAMP00249,Influencer Boost,2024-01-17,2024-01-24,Social Media,8816.44,1625,29,4352.91,16997,186967
CAMP00250,Winter Sale,2024-03-13,2024-03-27,Event,6439.07,776,231,42445.99,7512,150240
CAMP00251,Summer Sale,2024-08-16,2024-08-21,Social Media,16766.89,4776,1001,142277.96,2327,25597
CAMP00252,Brand Awareness,2024-01-24,2024-02-08,Social Media,8092.96,4348,1053,237328.27,8984,116792
CAMP00253,Product Launch,2024-10-18,2024-11-05,Event,11391.36,145,33,3751.13,7430,118880
CAMP00254,Email Blast,2024-09-18,2024-10-11,Influencer,12258.14,2962,796,214246.36,6722,134440
CAMP00255,Influencer Boost,2024-11-07,2024-11-18,Email,6175.55,439,55,3700.29,15741,110187
CAMP00256,Festive Ads,2024-05-28,2024-06-18,Influencer,4252.58,2709,220,48710.45,1014,5070
CAMP00257,Influencer Boost,2024-07-23,2024-07-31,Influencer,5582.29,1300,56,3533.89,9376,93760
CAMP00258,Brand Awareness,2024-03-19,2024-04-15,Event,9844.24,876,256,66192.36,5447,103493
CAMP00259,Email Blast,2024-11-14,2024-12-08,Social Media,16032.22,576,163,25274.59,8189,147402
CAMP00260,Winter Sale,2024-01-29,2024-02-19,Event,15008.21,732,144,36676.15,6262,50096
CAMP00261,Email Blast,2024-05-06,2024-05-25,Social Media,9887.69,488,8,1756.0,1931,17379
CAMP00262,Brand Awareness,2024-09-25,2024-10-04,Social Media,15378.6,1698,279,30116.91,17276,276416
